code_post,year,month,day,heigh,rainy
9403,2008,1,1,76.0,_I
9403,2008,2,1,78.0,I
9403,2008,3,1,78.0,_I
9403,2008,4,1,79.0,_I
9403,2008,5,1,87.0,_Z
9403,2008,6,1,91.0,^
9403,2008,7,1,68.0,^
9403,2008,8,1,66.0,_А
9403,2008,9,1,68.0,_А
9403,2008,10,1,70.0,_А
9403,2008,11,1,74.0,^I
9403,2008,12,1,72.0,_I
9403,2008,1,2,76.0,_I
9403,2008,2,2,77.0,I
9403,2008,3,2,78.0,_I
9403,2008,4,2,79.0,_I
9403,2008,5,2,101.0,Z
9403,2008,6,2,81.0,
9403,2008,7,2,68.0,^Т
9403,2008,8,2,66.0,_А
9403,2008,9,2,68.0,_А
9403,2008,10,2,70.0,_А
9403,2008,11,2,74.0,^I
9403,2008,12,2,72.0,_I
9403,2008,1,3,76.0,_I
9403,2008,2,3,77.0,I
9403,2008,3,3,78.0,_I
9403,2008,4,3,79.0,_I
9403,2008,5,3,149.0,(Z
9403,2008,6,3,81.0,
9403,2008,7,3,68.0,^Т
9403,2008,8,3,66.0,_А
9403,2008,9,3,68.0,_А
9403,2008,10,3,70.0,_А
9403,2008,11,3,74.0,^I
9403,2008,12,3,72.0,_I
9403,2008,1,4,76.0,_I
9403,2008,2,4,77.0,I
9403,2008,3,4,78.0,_I
9403,2008,4,4,79.0,_I
9403,2008,5,4,169.0,(
9403,2008,6,4,79.0,
9403,2008,7,4,68.0,^Т
9403,2008,8,4,66.0,_А
9403,2008,9,4,68.0,_А
9403,2008,10,4,70.0,_А
9403,2008,11,4,74.0,^I
9403,2008,12,4,72.0,_I
9403,2008,1,5,76.0,_I
9403,2008,2,5,76.0,_I
9403,2008,3,5,78.0,_I
9403,2008,4,5,79.0,_I
9403,2008,5,5,182.0,П(
9403,2008,6,5,74.0,
9403,2008,7,5,68.0,^Т
9403,2008,8,5,66.0,_А
9403,2008,9,5,68.0,_А
9403,2008,10,5,70.0,_А
9403,2008,11,5,74.0,^I
9403,2008,12,5,72.0,_I
9403,2008,1,6,78.0,^I
9403,2008,2,6,76.0,_I
9403,2008,3,6,78.0,_I
9403,2008,4,6,79.0,_I
9403,2008,5,6,217.0,РП
9403,2008,6,6,74.0,
9403,2008,7,6,68.0,^Т
9403,2008,8,6,67.0,_А
9403,2008,9,6,68.0,_А
9403,2008,10,6,70.0,_А
9403,2008,11,6,74.0,^I
9403,2008,12,6,72.0,_I
9403,2008,1,7,78.0,^I
9403,2008,2,7,76.0,_I
9403,2008,3,7,78.0,_I
9403,2008,4,7,79.0,_I
9403,2008,5,7,292.0,РП
9403,2008,6,7,73.0,
9403,2008,7,7,68.0,^Т
9403,2008,8,7,68.0,А
9403,2008,9,7,68.0,_А
9403,2008,10,7,70.0,_А
9403,2008,11,7,72.0,_I
9403,2008,12,7,72.0,_I
9403,2008,1,8,78.0,^I
9403,2008,2,8,77.0,_I
9403,2008,3,8,78.0,_I
9403,2008,4,8,79.0,_I
9403,2008,5,8,423.0,<Л
9403,2008,6,8,70.0,
9403,2008,7,8,67.0,Т
9403,2008,8,8,68.0,А
9403,2008,9,8,68.0,_А
9403,2008,10,8,70.0,_А
9403,2008,11,8,72.0,_I
9403,2008,12,8,72.0,_I
9403,2008,1,9,78.0,^I
9403,2008,2,9,78.0,I
9403,2008,3,9,78.0,_I
9403,2008,4,9,79.0,_I
9403,2008,5,9,427.0,^<Х
9403,2008,6,9,70.0,
9403,2008,7,9,67.0,Т
9403,2008,8,9,68.0,А
9403,2008,9,9,68.0,_А
9403,2008,10,9,70.0,_А
9403,2008,11,9,72.0,_I
9403,2008,12,9,72.0,_I
9403,2008,1,10,78.0,^I
9403,2008,2,10,78.0,I
9403,2008,3,10,78.0,_I
9403,2008,4,10,79.0,_I
9403,2008,5,10,421.0,<Х
9403,2008,6,10,70.0,
9403,2008,7,10,67.0,Т
9403,2008,8,10,68.0,А
9403,2008,9,10,68.0,_А
9403,2008,10,10,70.0,_А
9403,2008,11,10,72.0,_I
9403,2008,12,10,72.0,_I
9403,2008,1,11,78.0,^I
9403,2008,2,11,78.0,I
9403,2008,3,11,78.0,_I
9403,2008,4,11,80.0,_I
9403,2008,5,11,414.0,<Х
9403,2008,6,11,69.0,
9403,2008,7,11,67.0,Т
9403,2008,8,11,68.0,А
9403,2008,9,11,68.0,_А
9403,2008,10,11,70.0,_А
9403,2008,11,11,72.0,_I
9403,2008,12,11,72.0,_I
9403,2008,1,12,78.0,^I
9403,2008,2,12,78.0,I
9403,2008,3,12,78.0,_I
9403,2008,4,12,80.0,I
9403,2008,5,12,329.0,<Х
9403,2008,6,12,66.0,_
9403,2008,7,12,67.0,Т
9403,2008,8,12,68.0,А
9403,2008,9,12,68.0,_А
9403,2008,10,12,70.0,_А
9403,2008,11,12,72.0,_I
9403,2008,12,12,72.0,_I
9403,2008,1,13,78.0,^I
9403,2008,2,13,78.0,I
9403,2008,3,13,78.0,_I
9403,2008,4,13,80.0,I
9403,2008,5,13,301.0,N
9403,2008,6,13,65.0,_
9403,2008,7,13,67.0,Т
9403,2008,8,13,68.0,А
9403,2008,9,13,68.0,_А
9403,2008,10,13,71.0,_А
9403,2008,11,13,72.0,_I
9403,2008,12,13,72.0,_I
9403,2008,1,14,78.0,^I
9403,2008,2,14,78.0,I
9403,2008,3,14,78.0,_I
9403,2008,4,14,80.0,I
9403,2008,5,14,314.0,N
9403,2008,6,14,65.0,_
9403,2008,7,14,67.0,Т
9403,2008,8,14,68.0,А
9403,2008,9,14,68.0,_А
9403,2008,10,14,72.0,А
9403,2008,11,14,72.0,_I
9403,2008,12,14,73.0,"""I"
9403,2008,1,15,78.0,^I
9403,2008,2,15,78.0,I
9403,2008,3,15,78.0,_I
9403,2008,4,15,80.0,I
9403,2008,5,15,337.0,N
9403,2008,6,15,65.0,_
9403,2008,7,15,67.0,Т
9403,2008,8,15,68.0,А
9403,2008,9,15,68.0,_А
9403,2008,10,15,72.0,А
9403,2008,11,15,72.0,_I
9403,2008,12,15,73.0,^I
9403,2008,1,16,78.0,^I
9403,2008,2,16,78.0,I
9403,2008,3,16,78.0,_I
9403,2008,4,16,80.0,I
9403,2008,5,16,334.0,N
9403,2008,6,16,65.0,_
9403,2008,7,16,67.0,Т
9403,2008,8,16,68.0,А
9403,2008,9,16,68.0,_А
9403,2008,10,16,72.0,А
9403,2008,11,16,72.0,_I
9403,2008,12,16,73.0,^I
9403,2008,1,17,78.0,^I
9403,2008,2,17,78.0,I
9403,2008,3,17,80.0,^I
9403,2008,4,17,81.0,I
9403,2008,5,17,309.0,N
9403,2008,6,17,65.0,_
9403,2008,7,17,67.0,Т
9403,2008,8,17,68.0,А
9403,2008,9,17,68.0,_А
9403,2008,10,17,72.0,А
9403,2008,11,17,72.0,_I
9403,2008,12,17,73.0,^I
9403,2008,1,18,78.0,^I
9403,2008,2,18,78.0,I
9403,2008,3,18,80.0,^I
9403,2008,4,18,82.0,^I
9403,2008,5,18,287.0,N
9403,2008,6,18,65.0,_Т
9403,2008,7,18,67.0,Т
9403,2008,8,18,68.0,А
9403,2008,9,18,68.0,_А
9403,2008,10,18,72.0,А
9403,2008,11,18,72.0,_I
9403,2008,12,18,73.0,^I
9403,2008,1,19,78.0,^I
9403,2008,2,19,78.0,I
9403,2008,3,19,79.0,I
9403,2008,4,19,82.0,^I
9403,2008,5,19,239.0,N
9403,2008,6,19,65.0,_Т
9403,2008,7,19,67.0,Т
9403,2008,8,19,68.0,А
9403,2008,9,19,68.0,_А
9403,2008,10,19,72.0,А
9403,2008,11,19,72.0,_I
9403,2008,12,19,73.0,^I
9403,2008,1,20,78.0,^I
9403,2008,2,20,78.0,I
9403,2008,3,20,80.0,^I
9403,2008,4,20,82.0,^I
9403,2008,5,20,189.0,
9403,2008,6,20,65.0,_Т
9403,2008,7,20,67.0,Т
9403,2008,8,20,68.0,А
9403,2008,9,20,68.0,_А
9403,2008,10,20,72.0,А
9403,2008,11,20,72.0,_I
9403,2008,12,20,73.0,^I
9403,2008,1,21,78.0,^I
9403,2008,2,21,78.0,I
9403,2008,3,21,80.0,^I
9403,2008,4,21,82.0,^I
9403,2008,5,21,173.0,
9403,2008,6,21,65.0,_Т
9403,2008,7,21,67.0,Т
9403,2008,8,21,69.0,А
9403,2008,9,21,68.0,_А
9403,2008,10,21,72.0,:А
9403,2008,11,21,72.0,_I
9403,2008,12,21,73.0,^I
9403,2008,1,22,78.0,^I
9403,2008,2,22,78.0,I
9403,2008,3,22,80.0,^I
9403,2008,4,22,82.0,^I
9403,2008,5,22,164.0,
9403,2008,6,22,67.0,Т
9403,2008,7,22,67.0,Т
9403,2008,8,22,70.0,А
9403,2008,9,22,68.0,_А
9403,2008,10,22,1.0,
9403,2008,11,22,72.0,_I
9403,2008,12,22,73.0,^I
9403,2008,1,23,78.0,^I
9403,2008,2,23,79.0,^I
9403,2008,3,23,80.0,^I
9403,2008,4,23,82.0,^I
9403,2008,5,23,156.0,
9403,2008,6,23,67.0,Т
9403,2008,7,23,67.0,Т
9403,2008,8,23,70.0,А
9403,2008,9,23,69.0,А
9403,2008,10,23,1.0,
9403,2008,11,23,72.0,_I
9403,2008,12,23,73.0,^I
9403,2008,1,24,78.0,^I
9403,2008,2,24,79.0,^I
9403,2008,3,24,80.0,^I
9403,2008,4,24,82.0,^I
9403,2008,5,24,150.0,
9403,2008,6,24,74.0,Т
9403,2008,7,24,67.0,Т
9403,2008,8,24,72.0,А
9403,2008,9,24,69.0,А
9403,2008,10,24,74.0,^:
9403,2008,11,24,72.0,_I
9403,2008,12,24,73.0,^I
9403,2008,1,25,78.0,^I
9403,2008,2,25,79.0,^I
9403,2008,3,25,80.0,^I
9403,2008,4,25,82.0,^I
9403,2008,5,25,145.0,
9403,2008,6,25,74.0,Т
9403,2008,7,25,67.0,_Т
9403,2008,8,25,72.0,А
9403,2008,9,25,70.0,^А
9403,2008,10,25,74.0,^Z:
9403,2008,11,25,72.0,_I
9403,2008,12,25,73.0,^I
9403,2008,1,26,78.0,^I
9403,2008,2,26,79.0,^I
9403,2008,3,26,78.0,_I
9403,2008,4,26,82.0,^I
9403,2008,5,26,139.0,
9403,2008,6,26,74.0,Т
9403,2008,7,26,66.0,_Т
9403,2008,8,26,74.0,^А
9403,2008,9,26,70.0,^А
9403,2008,10,26,74.0,^Z
9403,2008,11,26,72.0,_I
9403,2008,12,26,73.0,^I
9403,2008,1,27,78.0,^I
9403,2008,2,27,79.0,^I
9403,2008,3,27,78.0,_I
9403,2008,4,27,82.0,^I
9403,2008,5,27,130.0,
9403,2008,6,27,74.0,Т
9403,2008,7,27,66.0,_Т
9403,2008,8,27,74.0,^А
9403,2008,9,27,70.0,^А
9403,2008,10,27,74.0,^Z
9403,2008,11,27,72.0,_I
9403,2008,12,27,73.0,^I
9403,2008,1,28,78.0,^I
9403,2008,2,28,79.0,^I
9403,2008,3,28,78.0,_I
9403,2008,4,28,82.0,^I
9403,2008,5,28,118.0,
9403,2008,6,28,75.0,Т
9403,2008,7,28,66.0,_Т
9403,2008,8,28,74.0,^А
9403,2008,9,28,70.0,^А
9403,2008,10,28,74.0,^Z
9403,2008,11,28,72.0,_I
9403,2008,12,28,73.0,^I
9403,2008,1,29,78.0,^I
9403,2008,2,29,79.0,^I
9403,2008,3,29,79.0,I
9403,2008,4,29,82.0,^I
9403,2008,5,29,116.0,
9403,2008,6,29,75.0,Т
9403,2008,7,29,66.0,_Т
9403,2008,8,29,73.0,А
9403,2008,9,29,70.0,^А
9403,2008,10,29,74.0,^Z
9403,2008,11,29,72.0,_I
9403,2008,12,29,73.0,^I
9403,2008,1,30,78.0,^I
9403,2008,2,30,1.0,
9403,2008,3,30,79.0,I
9403,2008,4,30,82.0,^I
9403,2008,5,30,105.0,
9403,2008,6,30,69.0,Т
9403,2008,7,30,66.0,_Т
9403,2008,8,30,73.0,А
9403,2008,9,30,70.0,^А
9403,2008,10,30,74.0,^Z
9403,2008,11,30,72.0,_I
9403,2008,12,30,73.0,^I
9403,2008,1,31,78.0,^I
9403,2008,2,31,1.0,
9403,2008,3,31,79.0,I
9403,2008,4,31,1.0,
9403,2008,5,31,102.0,
9403,2008,6,31,1.0,
9403,2008,7,31,66.0,_Т
9403,2008,8,31,73.0,А
9403,2008,9,31,1.0,
9403,2008,10,31,74.0,^I
9403,2008,11,31,1.0,
9403,2008,12,31,73.0,^I
9404,2008,1,1,102.0,_I
9404,2008,2,1,108.0,_I
9404,2008,3,1,124.0,_I
9404,2008,4,1,130.0,_I
9404,2008,5,1,140.0,_(
9404,2008,6,1,149.0,^
9404,2008,7,1,101.0,^
9404,2008,8,1,98.0,
9404,2008,9,1,100.0,_
9404,2008,10,1,105.0,^
9404,2008,11,1,97.0,^*)
9404,2008,12,1,93.0,_I
9404,2008,1,2,102.0,_I
9404,2008,2,2,108.0,_I
9404,2008,3,2,125.0,I
9404,2008,4,2,131.0,_I
9404,2008,5,2,142.0,(
9404,2008,6,2,144.0,
9404,2008,7,2,101.0,^
9404,2008,8,2,98.0,
9404,2008,9,2,100.0,_
9404,2008,10,2,105.0,^
9404,2008,11,2,97.0,^*)
9404,2008,12,2,93.0,_I
9404,2008,1,3,102.0,_I
9404,2008,2,3,108.0,_I
9404,2008,3,3,125.0,I
9404,2008,4,3,131.0,I
9404,2008,5,3,150.0,(
9404,2008,6,3,141.0,
9404,2008,7,3,101.0,^
9404,2008,8,3,98.0,
9404,2008,9,3,101.0,_
9404,2008,10,3,105.0,^
9404,2008,11,3,97.0,^*)
9404,2008,12,3,93.0,_I
9404,2008,1,4,102.0,_I
9404,2008,2,4,108.0,_I
9404,2008,3,4,125.0,I
9404,2008,4,4,132.0,I
9404,2008,5,4,165.0,(
9404,2008,6,4,139.0,
9404,2008,7,4,101.0,^
9404,2008,8,4,98.0,
9404,2008,9,4,101.0,
9404,2008,10,4,103.0,
9404,2008,11,4,97.0,^*)
9404,2008,12,4,93.0,_I
9404,2008,1,5,102.0,_I
9404,2008,2,5,108.0,_I
9404,2008,3,5,126.0,I
9404,2008,4,5,132.0,I
9404,2008,5,5,204.0,(
9404,2008,6,5,131.0,
9404,2008,7,5,99.0,
9404,2008,8,5,98.0,
9404,2008,9,5,103.0,
9404,2008,10,5,103.0,
9404,2008,11,5,97.0,^*)
9404,2008,12,5,93.0,_I
9404,2008,1,6,102.0,_I
9404,2008,2,6,108.0,_I
9404,2008,3,6,126.0,I
9404,2008,4,6,132.0,I
9404,2008,5,6,259.0,РП
9404,2008,6,6,126.0,
9404,2008,7,6,99.0,
9404,2008,8,6,98.0,
9404,2008,9,6,105.0,
9404,2008,10,6,103.0,
9404,2008,11,6,97.0,^*)
9404,2008,12,6,93.0,_I
