year,month,day,heigh,rainy,date,week,heigh_9403,rainy_9403,heigh_9404,rainy_9404,heigh_9405,rainy_9405,heigh_9406,rainy_9406,heigh_9408,rainy_9408,heigh_9410,rainy_9410,heigh_9413,rainy_9413,heigh_9416,rainy_9416,heigh_9417,rainy_9417,heigh_9419,rainy_9419,heigh_9420,rainy_9420,heigh_9422,rainy_9422,heigh_9518,rainy_9518
2008,1,1,964.0,^]I,2008-01-01,1.0,76.0,_I,102.0,_I,187.0,_I,117.0,_I,295.0,^I,321.0,^I,258.0,^I,99.0,^I,46.0,_I,315.0,^I,178.0,I,343.0,^Z,125.0,_I
2008,2,1,795.0,^I],2008-02-01,5.0,78.0,I,108.0,_I,193.0,^I,118.0,_I,265.0,^I,310.0,^I,252.0,^I,88.0,_I,56.0,_I,296.0,^I,177.0,"""I",309.0,^I,134.0,_I
2008,3,1,709.0,^I],2008-03-01,9.0,78.0,_I,124.0,_I,192.0,_I,120.0,_I,237.0,I,302.0,^I,249.0,_I,91.0,_I,62.0,_I,295.0,_I,177.0,_I,293.0,^I,142.0,_I
2008,4,1,694.0,^I],2008-04-01,14.0,79.0,_I,130.0,_I,212.0,_I,140.0,_I,227.0,I,294.0,I,250.0,_I,92.0,I,66.0,_I,298.0,I,178.0,"""I",284.0,^I,160.0,"""I"
2008,5,1,686.0,_I],2008-05-01,18.0,87.0,_Z,140.0,_(,226.0,_(I,149.0,_I,243.0,_I,298.0,I,254.0,_I,107.0,_I,73.0,_I,298.0,I,179.0,_I,276.0,Z,160.0,_I
2008,6,1,2237.0,N,2008-06-01,22.0,91.0,^,149.0,^,357.0,^,467.0,^,867.0,^,1518.0,unknown,1452.0,unknown,159.0,^,137.0,^,754.0,ХN,253.0,^,622.0,unknown,234.0,^
2008,7,1,1182.0,unknown,2008-07-01,27.0,68.0,^,101.0,^,213.0,unknown,231.0,unknown,460.0,unknown,838.0,unknown,1316.0,^,130.0,unknown,88.0,unknown,581.0,unknown,235.0,_,291.0,^,110.0,_
2008,8,1,1069.0,unknown,2008-08-01,31.0,66.0,_А,98.0,unknown,194.0,unknown,216.0,unknown,513.0,unknown,713.0,_,635.0,unknown,101.0,unknown,58.0,unknown,420.0,_,258.0,unknown,260.0,unknown,110.0,unknown
2008,9,1,1097.0,^,2008-09-01,36.0,68.0,_А,100.0,_,223.0,unknown,241.0,unknown,368.0,^,707.0,unknown,705.0,^,139.0,^,81.0,unknown,453.0,unknown,261.0,^,251.0,unknown,124.0,unknown
2008,10,1,820.0,unknown,2008-10-01,40.0,70.0,_А,105.0,^,218.0,unknown,243.0,unknown,327.0,unknown,554.0,^,463.0,^,101.0,unknown,71.0,unknown,380.0,^,235.0,^,251.0,unknown,119.0,unknown
2008,11,1,1151.0,^I,2008-11-01,44.0,74.0,^I,97.0,^*),227.0,^Z,307.0,ШI,332.0,Ш),390.0,Ш),264.0,^Z,89.0,_Z,69.0,Z,348.0,_*),235.0,I,244.0,_Ш,112.0,_Z
2008,12,1,880.0,^]I,2008-12-01,49.0,72.0,_I,93.0,_I,195.0,I,215.0,^I,269.0,^I,436.0,^I,240.0,^I,100.0,I,68.0,I,433.0,^I,224.0,_I,354.0,^Ш,122.0,_I
2008,1,2,960.0,]I,2008-01-02,1.0,76.0,_I,102.0,_I,187.0,_I,117.0,_I,294.0,I,321.0,^I,258.0,^I,99.0,^I,46.0,_I,315.0,^I,178.0,_I,341.0,Z,125.0,_I
2008,2,2,792.0,I],2008-02-02,5.0,77.0,I,108.0,_I,193.0,^I,118.0,_I,264.0,I,310.0,^I,251.0,I,88.0,_I,56.0,_I,296.0,^I,177.0,"""I",307.0,I,134.0,_I
2008,3,2,708.0,I],2008-03-02,9.0,78.0,_I,125.0,I,192.0,_I,121.0,_I,236.0,I,301.0,I,249.0,_I,91.0,_I,62.0,_I,295.0,_I,177.0,_I,293.0,^I,142.0,_I
