,year,month,day,heigh,rainy,date,week,heigh_9403,rainy_9403,heigh_9404,rainy_9404,heigh_9405,rainy_9405,heigh_9406,rainy_9406,heigh_9408,rainy_9408,heigh_9410,rainy_9410,heigh_9413,rainy_9413,heigh_9416,rainy_9416,heigh_9417,rainy_9417,heigh_9419,rainy_9419,heigh_9420,rainy_9420,heigh_9422,rainy_9422,heigh_9518,rainy_9518
0,2008,1,1,964.0,22,2008-01-01,1.0,76.0,45,102.0,49,187.0,27,117.0,27,295.0,13,321.0,21,258.0,18,99.0,25,46.0,40,315.0,33,178.0,20,343.0,14,125.0,27
1,2008,2,1,795.0,17,2008-02-01,5.0,78.0,13,108.0,49,193.0,16,118.0,27,265.0,13,310.0,21,252.0,18,88.0,37,56.0,40,296.0,33,177.0,1,309.0,12,134.0,27
2,2008,3,1,709.0,17,2008-03-01,9.0,78.0,45,124.0,49,192.0,27,120.0,27,237.0,5,302.0,21,249.0,28,91.0,37,62.0,40,295.0,48,177.0,43,293.0,12,142.0,27
3,2008,4,1,694.0,17,2008-04-01,14.0,79.0,45,130.0,49,212.0,27,140.0,27,227.0,5,294.0,11,250.0,28,92.0,15,66.0,40,298.0,17,178.0,1,284.0,12,160.0,0
4,2008,5,1,686.0,35,2008-05-01,18.0,87.0,46,140.0,42,226.0,24,149.0,27,243.0,25,298.0,11,254.0,28,107.0,37,73.0,40,298.0,17,179.0,43,276.0,7,160.0,27
5,2008,6,1,2237.0,8,2008-06-01,22.0,91.0,18,149.0,20,357.0,12,467.0,12,867.0,11,1518.0,33,1452.0,34,159.0,18,137.0,18,754.0,70,253.0,25,622.0,28,234.0,13
6,2008,7,1,1182.0,43,2008-07-01,27.0,68.0,18,101.0,20,213.0,31,231.0,31,460.0,33,838.0,33,1316.0,16,130.0,42,88.0,46,581.0,56,235.0,39,291.0,10,110.0,23
7,2008,8,1,1069.0,43,2008-08-01,31.0,66.0,48,98.0,54,194.0,31,216.0,31,513.0,33,713.0,25,635.0,34,101.0,42,58.0,46,420.0,45,258.0,49,260.0,28,110.0,31
8,2008,9,1,1097.0,14,2008-09-01,36.0,68.0,48,100.0,41,223.0,31,241.0,31,368.0,11,707.0,33,705.0,16,139.0,18,81.0,46,453.0,56,261.0,25,251.0,28,124.0,31
9,2008,10,1,820.0,43,2008-10-01,40.0,70.0,48,105.0,20,218.0,31,243.0,31,327.0,33,554.0,17,463.0,16,101.0,42,71.0,46,380.0,28,235.0,25,251.0,28,119.0,31
10,2008,11,1,1151.0,16,2008-11-01,44.0,74.0,26,97.0,23,227.0,17,307.0,43,332.0,45,390.0,47,264.0,21,89.0,39,69.0,17,348.0,47,235.0,20,244.0,27,112.0,28
11,2008,12,1,880.0,22,2008-12-01,49.0,72.0,45,93.0,49,195.0,9,215.0,17,269.0,13,436.0,21,240.0,18,100.0,15,68.0,13,433.0,33,224.0,43,354.0,21,122.0,27
12,2008,1,2,960.0,12,2008-01-02,1.0,76.0,45,102.0,49,187.0,27,117.0,27,294.0,5,321.0,21,258.0,18,99.0,25,46.0,40,315.0,33,178.0,43,341.0,7,125.0,27
13,2008,2,2,792.0,7,2008-02-02,5.0,77.0,13,108.0,49,193.0,16,118.0,27,264.0,5,310.0,21,251.0,10,88.0,37,56.0,40,296.0,33,177.0,1,307.0,3,134.0,27
14,2008,3,2,708.0,7,2008-03-02,9.0,78.0,45,125.0,12,192.0,27,121.0,27,236.0,5,301.0,11,249.0,28,91.0,37,62.0,40,295.0,48,177.0,43,293.0,12,142.0,27
15,2008,4,2,694.0,17,2008-04-02,14.0,79.0,45,131.0,49,212.0,27,141.0,27,227.0,25,294.0,11,250.0,28,92.0,37,66.0,40,298.0,17,178.0,1,284.0,12,160.0,0
